Age,Income,Credit_Score,Years_Employed,Existing_Loans,Debt_to_Income,Savings,Loan_Amount,Loan_Approved
56,21920,454,32,0,0.42,84596,287985,1
69,126121,389,40,0,0.73,25288,280619,1
46,97219,657,14,0,0.51,90947,11671,1
32,96872,473,2,2,0.08,46091,196656,1
60,101132,516,40,2,0.14,79872,36764,1
25,22093,755,0,1,0.62,60216,272299,0
38,32905,498,9,2,0.59,78162,134518,0
56,141759,785,24,2,0.17,59785,234689,1
36,44351,832,5,0,0.09,51997,257393,1
40,50981,499,17,1,0.48,70037,70768,0
28,93903,670,0,4,0.53,51693,125423,0
28,90821,747,5,2,0.15,83386,65851,0
41,129200,547,15,5,0.41,36712,49566,0
53,123241,563,32,2,0.28,87214,225841,1
57,102289,357,23,4,0.75,16905,148603,0
41,136506,601,22,0,0.21,2591,279335,1
20,104021,330,0,1,0.6,61159,254104,0
39,98513,797,8,0,0.44,14522,203730,1
19,39874,548,0,3,0.06,82689,8779,1
41,70931,570,10,2,0.44,4572,115678,1
61,27674,693,40,5,0.12,62680,266752,1
47,70516,801,14,3,0.54,59537,12317,1
55,141982,383,34,2,0.47,34061,192968,1
19,148408,664,1,3,0.06,92033,5159,0
38,114574,848,7,4,0.2,88778,130373,1
50,80686,641,25,2,0.63,67874,62115,1
29,114851,706,9,5,0.26,61542,203737,0
39,89212,724,17,2,0.42,62907,24462,1
61,22426,392,38,3,0.28,17151,220221,1
42,142952,711,17,1,0.74,93526,270061,1
66,110009,731,40,3,0.45,81916,293269,1
44,88498,458,21,2,0.57,97571,247141,0
59,49943,313,38,2,0.11,46813,196801,1
45,86395,672,21,1,0.08,53627,235955,1
33,64816,524,9,0,0.24,27117,281493,1
32,24138,804,12,1,0.28,69034,65715,1
64,120728,372,39,0,0.57,26483,170800,1
68,111176,548,40,5,0.48,72264,166864,0
61,95945,810,40,2,0.33,57469,12902,1
69,24017,515,38,4,0.54,19877,126345,0
20,30451,840,0,4,0.17,63396,84569,0
54,82956,519,27,3,0.1,93239,40158,1
68,113863,520,37,1,0.69,4088,235795,1
24,30278,688,3,1,0.47,24179,8917,1
38,110480,341,15,4,0.54,48954,230019,0
26,63764,582,0,0,0.28,23011,213430,1
56,143030,357,38,1,0.33,13839,108246,1
35,21134,836,12,0,0.11,53903,29691,1
21,82943,372,0,0,0.69,64561,75734,1
42,115667,428,10,0,0.49,24625,31046,1
31,74318,725,2,0,0.11,19481,158458,1
